#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Akt3	Itgb4	10090.ENSMUSP00000106789	10090.ENSMUSP00000102068	0	0	0	0	0	0.057	0.547	0	0.554
Apoe	Bin1	10090.ENSMUSP00000133302	10090.ENSMUSP00000025239	0	0	0	0	0	0	0.540	0	0.540
Apoe	Map2	10090.ENSMUSP00000133302	10090.ENSMUSP00000076577	0	0	0	0	0	0.497	0	0	0.497
Atp2a2	Atp2b1	10090.ENSMUSP00000031423	10090.ENSMUSP00000020107	0	0	0	0.670	0	0.654	0	0	0.654
Atp2a2	Canx	10090.ENSMUSP00000031423	10090.ENSMUSP00000020637	0	0	0	0	0	0.527	0	0	0.527
Atp2a2	Bin1	10090.ENSMUSP00000031423	10090.ENSMUSP00000025239	0	0	0	0	0	0.401	0	0	0.400
Atxn2l	Pabpc1	10090.ENSMUSP00000035415	10090.ENSMUSP00000001809	0	0	0	0	0	0.807	0	0	0.807
Atxn2l	Ncl	10090.ENSMUSP00000035415	10090.ENSMUSP00000027438	0	0	0	0	0	0.402	0	0	0.402
Atxn2l	G3bp2	10090.ENSMUSP00000035415	10090.ENSMUSP00000128244	0	0	0	0	0	0.721	0	0	0.721
Bclaf1	Pnn	10090.ENSMUSP00000043583	10090.ENSMUSP00000021381	0	0	0	0	0	0.406	0	0	0.406
Bclaf1	Thrap3	10090.ENSMUSP00000043583	10090.ENSMUSP00000079722	0	0	0	0.802	0	0.733	0.540	0	0.871
Bin1	Synm	10090.ENSMUSP00000025239	10090.ENSMUSP00000073855	0	0	0	0	0	0.649	0	0	0.649
Bin1	Clip1	10090.ENSMUSP00000025239	10090.ENSMUSP00000107192	0	0	0	0	0	0.426	0	0	0.426
Camk2d	Raf1	10090.ENSMUSP00000102009	10090.ENSMUSP00000000451	0	0	0	0.561	0	0.057	0.545	0	0.553
Camk2d	Mylk	10090.ENSMUSP00000102009	10090.ENSMUSP00000023538	0	0	0	0.715	0	0.071	0.391	0	0.410
Camk2d	Kras	10090.ENSMUSP00000102009	10090.ENSMUSP00000032399	0	0	0	0	0	0.089	0.936	0	0.939
Camk2d	Mecp2	10090.ENSMUSP00000102009	10090.ENSMUSP00000033770	0	0	0	0	0	0	0.900	0	0.900
Camk2d	Map4	10090.ENSMUSP00000102009	10090.ENSMUSP00000035055	0	0	0	0	0	0.115	0.355	0	0.404
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0	0.451	0.355	0	0.631
Camk2d	Marcks	10090.ENSMUSP00000102009	10090.ENSMUSP00000090245	0	0	0	0	0	0	0.470	0	0.470
Camk2d	Prkcd	10090.ENSMUSP00000102009	10090.ENSMUSP00000107830	0	0	0	0.608	0	0.048	0.500	0	0.503
Cbx1	Chd4	10090.ENSMUSP00000091475	10090.ENSMUSP00000060054	0	0	0	0	0	0.739	0	0	0.739
Cgnl1	Tjp1	10090.ENSMUSP00000072672	10090.ENSMUSP00000099652	0	0	0	0	0	0	0.800	0	0.800
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0	0.825	0.932	0	0.987
Chd4	Wdr33	10090.ENSMUSP00000060054	10090.ENSMUSP00000025264	0	0	0	0	0	0.083	0.380	0	0.407
Chd4	Mecp2	10090.ENSMUSP00000060054	10090.ENSMUSP00000033770	0	0	0	0	0	0.158	0.318	0	0.401
Chd4	Smarcc2	10090.ENSMUSP00000060054	10090.ENSMUSP00000100868	0	0	0	0	0	0.478	0.218	0	0.574
Chd4	Mta2	10090.ENSMUSP00000060054	10090.ENSMUSP00000093959	0	0	0	0	0	0.886	0.966	0	0.995
Cherp	Srsf1	10090.ENSMUSP00000078469	10090.ENSMUSP00000120595	0	0	0	0	0	0.763	0	0	0.763
Clip1	Mtor	10090.ENSMUSP00000107192	10090.ENSMUSP00000099510	0	0	0	0	0	0.145	0.932	0	0.939
Clip1	Tuba4a	10090.ENSMUSP00000107192	10090.ENSMUSP00000140657	0	0	0	0	0	0.496	0	0	0.496
Cltc	Tpd52l1	10090.ENSMUSP00000099475	10090.ENSMUSP00000000305	0	0	0	0	0	0	0.600	0	0.600
Cltc	Flna	10090.ENSMUSP00000099475	10090.ENSMUSP00000033699	0	0	0	0	0	0.200	0.720	0	0.766
Cltc	Mapk1	10090.ENSMUSP00000099475	10090.ENSMUSP00000065983	0	0	0	0	0	0.095	0.600	0	0.622
Cltc	Tpd52	10090.ENSMUSP00000099475	10090.ENSMUSP00000091943	0	0	0	0	0	0	0.600	0	0.600
Col1a1	Srsf1	10090.ENSMUSP00000001547	10090.ENSMUSP00000120595	0	0	0	0	0	0.433	0	0	0.433
Col1a1	Srsf2	10090.ENSMUSP00000001547	10090.ENSMUSP00000090059	0	0	0	0	0	0.433	0	0	0.433
Col1a1	Itgb4	10090.ENSMUSP00000001547	10090.ENSMUSP00000102068	0	0	0	0	0	0.131	0.641	0	0.674
Col1a1	Fn1	10090.ENSMUSP00000001547	10090.ENSMUSP00000054499	0	0	0	0	0	0.435	0	0	0.435
Col1a1	Col3a1	10090.ENSMUSP00000001547	10090.ENSMUSP00000085192	0	0	0	0.950	0	0	0.900	0	0.900
Ctnnd1	Igf1r	10090.ENSMUSP00000064518	10090.ENSMUSP00000005671	0	0	0	0	0	0.058	0.585	0	0.592
Ctnnd1	Gsk3b	10090.ENSMUSP00000064518	10090.ENSMUSP00000023507	0	0	0	0	0	0.462	0.127	0	0.510
Ctnnd1	Insr	10090.ENSMUSP00000064518	10090.ENSMUSP00000088837	0	0	0	0	0	0.058	0.430	0	0.440
Ctnnd1	Tjp2	10090.ENSMUSP00000064518	10090.ENSMUSP00000097154	0	0	0	0	0	0.057	0.396	0	0.406
Ctnnd1	Tjp1	10090.ENSMUSP00000064518	10090.ENSMUSP00000099652	0	0	0	0	0	0.066	0.585	0	0.595
Denr	Eif3g	10090.ENSMUSP00000023869	10090.ENSMUSP00000004206	0	0	0	0	0	0.492	0	0	0.491
Denr	Rps2	10090.ENSMUSP00000023869	10090.ENSMUSP00000092502	0	0	0	0	0	0.401	0	0	0.400
Denr	Eif4g3	10090.ENSMUSP00000023869	10090.ENSMUSP00000081233	0	0	0	0	0	0.263	0.332	0	0.486
Denr	Eif4g1	10090.ENSMUSP00000023869	10090.ENSMUSP00000047678	0	0	0	0	0	0.263	0.332	0	0.486
Denr	Eif3b	10090.ENSMUSP00000023869	10090.ENSMUSP00000098076	0	0	0	0	0	0.402	0	0	0.402
Denr	Eif3c	10090.ENSMUSP00000023869	10090.ENSMUSP00000032992	0	0	0	0	0	0.500	0	0	0.499
Dkc1	Pabpc1	10090.ENSMUSP00000033776	10090.ENSMUSP00000001809	0	0	0	0	0	0.240	0.386	0	0.513
Dkc1	Hsp90ab1	10090.ENSMUSP00000033776	10090.ENSMUSP00000024739	0	0	0	0	0	0.082	0.547	0	0.566
Dkc1	Eif5b	10090.ENSMUSP00000033776	10090.ENSMUSP00000027252	0	0	0	0	0	0.402	0	0	0.402
Dkc1	Ncl	10090.ENSMUSP00000033776	10090.ENSMUSP00000027438	0	0	0	0	0	0.159	0.676	0	0.715
Dkc1	Mtor	10090.ENSMUSP00000033776	10090.ENSMUSP00000099510	0	0	0	0	0	0	0.676	0	0.676
Dkc1	Hnrnpu	10090.ENSMUSP00000033776	10090.ENSMUSP00000047571	0	0	0	0	0	0	0.720	0	0.720
Dkc1	Hsp90aa1	10090.ENSMUSP00000033776	10090.ENSMUSP00000091921	0	0	0	0	0	0.082	0.676	0	0.689
Dkc1	Eif3b	10090.ENSMUSP00000033776	10090.ENSMUSP00000098076	0	0	0	0	0	0.402	0	0	0.402
Dkc1	Ptges3	10090.ENSMUSP00000033776	10090.ENSMUSP00000050292	0	0	0	0	0	0.143	0.905	0	0.915
Dkc1	Hnrnpc	10090.ENSMUSP00000033776	10090.ENSMUSP00000107237	0	0	0	0	0	0.137	0.905	0	0.914
Dkc1	Nolc1	10090.ENSMUSP00000033776	10090.ENSMUSP00000128331	0	0	0	0	0	0.479	0.360	0	0.652
Dkc1	Nop56	10090.ENSMUSP00000033776	10090.ENSMUSP00000099487	0	0	0	0	0	0.905	0.720	0	0.972
Eef1b2	Rpl13	10090.ENSMUSP00000116492	10090.ENSMUSP00000000756	0	0	0	0	0	0.884	0	0	0.884
Eef1b2	Rplp1	10090.ENSMUSP00000116492	10090.ENSMUSP00000008036	0	0	0	0	0	0.856	0	0	0.856
Eef1b2	Rpl6	10090.ENSMUSP00000116492	10090.ENSMUSP00000031617	0	0	0	0	0	0.806	0	0	0.806
Eef1b2	Rpl22l1	10090.ENSMUSP00000116492	10090.ENSMUSP00000043111	0	0	0	0	0	0.744	0	0	0.744
Eef1b2	Rpl26	10090.ENSMUSP00000116492	10090.ENSMUSP00000073175	0	0	0	0	0	0.642	0	0	0.642
Eef1b2	Rpl15	10090.ENSMUSP00000116492	10090.ENSMUSP00000079163	0	0	0	0	0	0.850	0	0	0.850
Eef1b2	Rplp2	10090.ENSMUSP00000116492	10090.ENSMUSP00000081474	0	0	0	0	0	0.895	0	0	0.895
Eef1b2	Rplp0	10090.ENSMUSP00000116492	10090.ENSMUSP00000083705	0	0	0	0	0	0.879	0	0	0.879
Eef1b2	Eef1d	10090.ENSMUSP00000116492	10090.ENSMUSP00000087110	0	0	0	0.939	0	0.932	0.800	0	0.985
Eef1b2	Rps2	10090.ENSMUSP00000116492	10090.ENSMUSP00000092502	0	0	0	0	0	0.803	0	0	0.803
Eef1d	Rpl13	10090.ENSMUSP00000087110	10090.ENSMUSP00000000756	0	0	0	0	0	0.695	0	0	0.695
Eef1d	Rplp2	10090.ENSMUSP00000087110	10090.ENSMUSP00000081474	0	0	0	0	0	0.652	0	0	0.652
Eef1d	Rplp0	10090.ENSMUSP00000087110	10090.ENSMUSP00000083705	0	0	0	0	0	0.688	0	0	0.688
Eef2	Rpl13	10090.ENSMUSP00000046101	10090.ENSMUSP00000000756	0	0	0	0	0	0.911	0	0	0.911
Eef2	Rplp1	10090.ENSMUSP00000046101	10090.ENSMUSP00000008036	0	0	0	0	0	0.737	0	0	0.737
Eef2	Snw1	10090.ENSMUSP00000046101	10090.ENSMUSP00000021428	0	0	0	0	0	0.461	0	0	0.461
Eef2	Eif3h	10090.ENSMUSP00000046101	10090.ENSMUSP00000022925	0	0	0	0	0	0.058	0.540	0	0.548
Eef2	Rpl6	10090.ENSMUSP00000046101	10090.ENSMUSP00000031617	0	0	0	0	0	0.822	0.720	0	0.948
Eef2	Rpl22l1	10090.ENSMUSP00000046101	10090.ENSMUSP00000043111	0	0	0	0	0	0.753	0	0	0.753
Eef2	Plec	10090.ENSMUSP00000046101	10090.ENSMUSP00000075772	0	0	0	0	0	0.710	0	0	0.710
Eef2	Rps2	10090.ENSMUSP00000046101	10090.ENSMUSP00000092502	0	0	0	0	0	0.853	0	0	0.853
Eef2	Rpl26	10090.ENSMUSP00000046101	10090.ENSMUSP00000073175	0	0	0	0	0	0.922	0	0	0.922
Eef2	Rpl15	10090.ENSMUSP00000046101	10090.ENSMUSP00000079163	0	0	0	0	0	0.913	0	0	0.913
Eef2	Rplp0	10090.ENSMUSP00000046101	10090.ENSMUSP00000083705	0	0	0	0	0	0.864	0	0	0.864
Eef2	Eef2k	10090.ENSMUSP00000046101	10090.ENSMUSP00000046595	0	0	0	0	0	0.210	0.932	0	0.944
Eef2	Rplp2	10090.ENSMUSP00000046101	10090.ENSMUSP00000081474	0	0	0	0	0	0.964	0	0	0.964
Eif3b	Eif3g	10090.ENSMUSP00000098076	10090.ENSMUSP00000004206	0	0	0	0	0	0.976	0.900	0	0.997
Eif3b	Eif3h	10090.ENSMUSP00000098076	10090.ENSMUSP00000022925	0	0	0	0	0	0.975	0.900	0	0.997
Eif3b	Eif5b	10090.ENSMUSP00000098076	10090.ENSMUSP00000027252	0	0	0	0	0	0.947	0	0	0.947
Eif3b	Eif3j1	10090.ENSMUSP00000098076	10090.ENSMUSP00000028668	0	0	0	0	0	0.921	0.720	0	0.977
Eif3b	Eif3c	10090.ENSMUSP00000098076	10090.ENSMUSP00000032992	0	0	0	0	0	0.973	0.900	0	0.997
Eif3b	Eif4g1	10090.ENSMUSP00000098076	10090.ENSMUSP00000047678	0	0	0	0	0	0.957	0	0	0.957
Eif3b	Plec	10090.ENSMUSP00000098076	10090.ENSMUSP00000075772	0	0	0	0	0	0.585	0	0	0.585
Eif3b	Eif4g3	10090.ENSMUSP00000098076	10090.ENSMUSP00000081233	0	0	0	0	0	0.420	0	0	0.420
Eif3b	Rps2	10090.ENSMUSP00000098076	10090.ENSMUSP00000092502	0	0	0	0	0	0.540	0.600	0	0.808
Eif3b	Mtor	10090.ENSMUSP00000098076	10090.ENSMUSP00000099510	0	0	0	0	0	0.402	0	0	0.402
Eif3c	Eif3g	10090.ENSMUSP00000032992	10090.ENSMUSP00000004206	0	0	0	0	0	0.974	0.900	0	0.997
Eif3c	Eif3h	10090.ENSMUSP00000032992	10090.ENSMUSP00000022925	0	0	0	0	0	0.974	0.900	0	0.997
Eif3c	Eif5b	10090.ENSMUSP00000032992	10090.ENSMUSP00000027252	0	0	0	0	0	0.940	0	0	0.940
Eif3c	Eif3j1	10090.ENSMUSP00000032992	10090.ENSMUSP00000028668	0	0	0	0	0	0.919	0.720	0	0.976
Eif3c	Plec	10090.ENSMUSP00000032992	10090.ENSMUSP00000075772	0	0	0	0	0	0.605	0	0	0.605
Eif3c	Rps2	10090.ENSMUSP00000032992	10090.ENSMUSP00000092502	0	0	0	0	0	0.547	0.600	0	0.811
Eif3c	Eif4g1	10090.ENSMUSP00000032992	10090.ENSMUSP00000047678	0	0	0	0	0	0.551	0	0	0.551
Eif3g	Eif4g3	10090.ENSMUSP00000004206	10090.ENSMUSP00000081233	0	0	0	0	0	0.401	0	0	0.400
Eif3g	Plec	10090.ENSMUSP00000004206	10090.ENSMUSP00000075772	0	0	0	0	0	0.577	0	0	0.577
Eif3g	Eif4g1	10090.ENSMUSP00000004206	10090.ENSMUSP00000047678	0	0	0	0	0	0.645	0	0	0.645
Eif3g	Rps2	10090.ENSMUSP00000004206	10090.ENSMUSP00000092502	0	0	0	0	0	0.537	0.600	0	0.806
Eif3g	Eif5b	10090.ENSMUSP00000004206	10090.ENSMUSP00000027252	0	0	0	0	0	0.912	0	0	0.912
Eif3g	Eif3j1	10090.ENSMUSP00000004206	10090.ENSMUSP00000028668	0	0	0	0	0	0.917	0.720	0	0.975
Eif3g	Eif3h	10090.ENSMUSP00000004206	10090.ENSMUSP00000022925	0	0	0	0	0	0.972	0.900	0	0.997
Eif3h	Eif4g3	10090.ENSMUSP00000022925	10090.ENSMUSP00000081233	0	0	0	0	0	0.448	0	0	0.448
Eif3h	Eif4g1	10090.ENSMUSP00000022925	10090.ENSMUSP00000047678	0	0	0	0	0	0.729	0	0	0.729
Eif3h	Rps2	10090.ENSMUSP00000022925	10090.ENSMUSP00000092502	0	0	0	0	0	0.463	0.600	0	0.776
Eif3h	Rpl6	10090.ENSMUSP00000022925	10090.ENSMUSP00000031617	0	0	0	0	0	0	0.540	0	0.540
Eif3h	Eif3j1	10090.ENSMUSP00000022925	10090.ENSMUSP00000028668	0	0	0	0	0	0.753	0.720	0	0.927
Eif3j1	Plec	10090.ENSMUSP00000028668	10090.ENSMUSP00000075772	0	0	0	0	0	0.462	0	0	0.461
Eif3j1	Rps2	10090.ENSMUSP00000028668	10090.ENSMUSP00000092502	0	0	0	0	0	0.444	0.600	0	0.768
Eif3j1	Eif4b	10090.ENSMUSP00000028668	10090.ENSMUSP00000127774	0	0	0	0	0	0.664	0	0	0.664
Eif3j1	Eif4g1	10090.ENSMUSP00000028668	10090.ENSMUSP00000047678	0	0	0	0	0	0.760	0	0	0.760
Eif4b	Pabpc1	10090.ENSMUSP00000127774	10090.ENSMUSP00000001809	0	0	0	0	0	0.164	0.800	0	0.825
Eif4b	Eif4g1	10090.ENSMUSP00000127774	10090.ENSMUSP00000047678	0	0	0	0	0	0.656	0.922	0	0.972
Eif4b	Eif4g3	10090.ENSMUSP00000127774	10090.ENSMUSP00000081233	0	0	0	0	0	0.511	0.496	0	0.743
Eif4b	Tnks1bp1	10090.ENSMUSP00000127774	10090.ENSMUSP00000107232	0	0	0	0	0	0	0.900	0	0.900
Eif4ebp1	Gsk3b	10090.ENSMUSP00000033880	10090.ENSMUSP00000023507	0	0	0	0	0	0.421	0.132	0	0.476
Eif4ebp1	Mapk1	10090.ENSMUSP00000033880	10090.ENSMUSP00000065983	0	0	0	0	0	0.446	0.800	0	0.884
Eif4ebp1	Eif4g1	10090.ENSMUSP00000033880	10090.ENSMUSP00000047678	0	0	0	0	0	0	0.650	0	0.650
Eif4ebp1	Mtor	10090.ENSMUSP00000033880	10090.ENSMUSP00000099510	0	0	0	0	0	0.963	0.966	0	0.998
Eif4g1	Pabpc1	10090.ENSMUSP00000047678	10090.ENSMUSP00000001809	0	0	0	0	0	0.721	0.896	0	0.969
Eif4g1	Hspb1	10090.ENSMUSP00000047678	10090.ENSMUSP00000005077	0	0	0	0	0	0.134	0.800	0	0.819
Eif4g1	Ncl	10090.ENSMUSP00000047678	10090.ENSMUSP00000027438	0	0	0	0	0	0.336	0.337	0	0.540
Eif4g1	Rps2	10090.ENSMUSP00000047678	10090.ENSMUSP00000092502	0	0	0	0	0	0.401	0	0	0.400
Eif4g1	Usp10	10090.ENSMUSP00000047678	10090.ENSMUSP00000123590	0	0	0	0	0	0.724	0	0	0.724
Eif4g1	Larp1	10090.ENSMUSP00000047678	10090.ENSMUSP00000136673	0	0	0	0	0	0.716	0	0	0.716
Eif4g1	Tnks1bp1	10090.ENSMUSP00000047678	10090.ENSMUSP00000107232	0	0	0	0	0	0.130	0.900	0	0.909
Eif4g1	Eif4g3	10090.ENSMUSP00000047678	10090.ENSMUSP00000081233	0	0	0	0.907	0	0.753	0.922	0	0.980
Eif4g3	Pabpc1	10090.ENSMUSP00000081233	10090.ENSMUSP00000001809	0	0	0	0	0	0.463	0.471	0	0.703
Eif4g3	Ncl	10090.ENSMUSP00000081233	10090.ENSMUSP00000027438	0	0	0	0	0	0.336	0.337	0	0.540
Eif4g3	Usp10	10090.ENSMUSP00000081233	10090.ENSMUSP00000123590	0	0	0	0	0	0.443	0	0	0.443
Eif5b	Rpl13	10090.ENSMUSP00000027252	10090.ENSMUSP00000000756	0	0	0	0	0	0.742	0	0	0.742
Eif5b	Tceb3	10090.ENSMUSP00000027252	10090.ENSMUSP00000030427	0	0	0	0	0	0.645	0	0	0.645
Eif5b	Rps2	10090.ENSMUSP00000027252	10090.ENSMUSP00000092502	0	0	0	0	0	0.459	0	0	0.459
Eif5b	Plec	10090.ENSMUSP00000027252	10090.ENSMUSP00000075772	0	0	0	0	0	0.675	0	0	0.675
Eif5b	Rplp0	10090.ENSMUSP00000027252	10090.ENSMUSP00000083705	0	0	0	0	0	0.672	0	0	0.672
Eif5b	Rpl6	10090.ENSMUSP00000027252	10090.ENSMUSP00000031617	0	0	0	0	0	0.735	0	0	0.735
Eif5b	Rpl22l1	10090.ENSMUSP00000027252	10090.ENSMUSP00000043111	0	0	0	0	0	0.736	0	0	0.736
Eif5b	Rpl15	10090.ENSMUSP00000027252	10090.ENSMUSP00000079163	0	0	0	0	0	0.741	0	0	0.741
Eif5b	Rpl26	10090.ENSMUSP00000027252	10090.ENSMUSP00000073175	0	0	0	0	0	0.842	0	0	0.842
Flna	Hsp90ab1	10090.ENSMUSP00000033699	10090.ENSMUSP00000024739	0	0	0	0	0	0.400	0	0	0.400
Flna	Prkcd	10090.ENSMUSP00000033699	10090.ENSMUSP00000107830	0	0	0	0	0	0.053	0.430	0	0.437
Flna	Itgb4	10090.ENSMUSP00000033699	10090.ENSMUSP00000102068	0	0	0	0	0	0.207	0.652	0	0.712
Flna	Tuba4a	10090.ENSMUSP00000033699	10090.ENSMUSP00000140657	0	0	0	0	0	0.134	0.900	0	0.909
Fn1	Raf1	10090.ENSMUSP00000054499	10090.ENSMUSP00000000451	0	0	0	0	0	0.057	0.644	0	0.650
Fn1	Igf1r	10090.ENSMUSP00000054499	10090.ENSMUSP00000005671	0	0	0	0	0	0.057	0.676	0	0.681
Fn1	Myh9	10090.ENSMUSP00000054499	10090.ENSMUSP00000016771	0	0	0	0	0	0.131	0.393	0	0.449
Fn1	Kras	10090.ENSMUSP00000054499	10090.ENSMUSP00000032399	0	0	0	0	0	0	0.653	0	0.653
Fn1	Myo18a	10090.ENSMUSP00000054499	10090.ENSMUSP00000130696	0	0	0	0	0	0.058	0.393	0	0.403
Fn1	Myh11	10090.ENSMUSP00000054499	10090.ENSMUSP00000087756	0	0	0	0	0	0.066	0.393	0	0.408
Fn1	Insr	10090.ENSMUSP00000054499	10090.ENSMUSP00000088837	0	0	0	0	0	0.057	0.515	0	0.523
Fn1	Mapk1	10090.ENSMUSP00000054499	10090.ENSMUSP00000065983	0	0	0	0	0	0	0.600	0	0.600
Fn1	Itgb4	10090.ENSMUSP00000054499	10090.ENSMUSP00000102068	0	0	0	0.538	0	0.276	0.715	0	0.784
G3bp2	Nup214	10090.ENSMUSP00000128244	10090.ENSMUSP00000066492	0	0	0	0	0	0.406	0	0	0.406
G3bp2	Usp10	10090.ENSMUSP00000128244	10090.ENSMUSP00000123590	0	0	0	0	0	0.811	0	0	0.811
Gapdh	Pabpc1	10090.ENSMUSP00000113942	10090.ENSMUSP00000001809	0	0	0	0	0	0.637	0	0	0.637
Gapdh	Tppp	10090.ENSMUSP00000113942	10090.ENSMUSP00000022057	0	0	0	0	0	0.698	0	0	0.698
Gapdh	Pabpn1	10090.ENSMUSP00000113942	10090.ENSMUSP00000022808	0	0	0	0	0	0.709	0	0	0.709
Gapdh	Ncl	10090.ENSMUSP00000113942	10090.ENSMUSP00000027438	0	0	0	0	0	0.664	0	0	0.664
Gapdh	Hnrnpu	10090.ENSMUSP00000113942	10090.ENSMUSP00000047571	0	0	0	0	0	0.642	0	0	0.642
Gapdh	Rpl26	10090.ENSMUSP00000113942	10090.ENSMUSP00000073175	0	0	0	0	0	0.640	0	0	0.640
Gapdh	Rplp0	10090.ENSMUSP00000113942	10090.ENSMUSP00000083705	0	0	0	0	0	0.641	0	0	0.641
Gnl1	Rpl13	10090.ENSMUSP00000084450	10090.ENSMUSP00000000756	0	0	0	0	0	0.560	0	0	0.560
Gnl1	Rpl6	10090.ENSMUSP00000084450	10090.ENSMUSP00000031617	0	0	0	0	0	0.560	0	0	0.560
Gnl1	Rpl22l1	10090.ENSMUSP00000084450	10090.ENSMUSP00000043111	0	0	0	0	0	0.524	0	0	0.524
Gnl1	Rpl26	10090.ENSMUSP00000084450	10090.ENSMUSP00000073175	0	0	0	0	0	0.628	0	0	0.628
